Image Name,Description,File Name,Extracted Text
10524.png,a woman is petting a dog in a living room,10524.png,some people did something agaim
10527.png,a crowd of people gathered in a field,10527.png,when vou Miqally headsbbot 1150 @bblack [people
10528.png,this shit why i like people,10528.png,this shit iS why  Li bake people
10538.png,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed,10538.png,morgan fteemam cordlemming slavery
10539.png,a man sitting at a desk with a computer,10539.png,millions 0f kills; 1 death whhat a fucking camper
10547.png,a black and white photo of a man in a military uniform,10547.png,fuck ankS (fuck indiams @o
10548.png,a man in a field of cotton,10548.png,farmimg simulator 17
10562.png,a man with a microphone and a green background,10562.png,what if i change my gender s0 i become the victim and not thhe ranist
10564.png,a man with a camera taking a picture,10564.png,[hite people plheq Uhey [ear fish Swim in schoolks
10567.png,a man in a suit and tie giving a thumbs,10567.png,fuck JOu pveople america first rag heads trump 2020 JOu are the enemy Of the pveople
10572.png,a man sitting at a bar talking to another man,10572.png,"SO they rigged the elections, gave hilllargy the debate answers had dead people [otey tapped trumps phones, and they still lost!"
10574.png,a young man and a young woman are posing for a picture,10574.png,lastpear @yrone got a newjob; started building lis crediy and spending] more time with his kids then somedhing amazing started to happen!
10576.png,a man in a suit and tie is speaking,10576.png,"euninanuel macron saide ""nationalism is treasom"" if not for theM$.vou'd be saving that in german right nOW:"
10579.png,"a hand pointing at the viewer with the text, only 4 % of people were over the same",10579.png,cnliy 11498 Of bbte [eople euer Oued] slavves So [bllamnig thhe eddire pbnte race is racism at its finesu
10582.png,a computer with a message on it,10582.png,"four years for Vour bachelor's? Iots ""LIce Io0jJJpru hneototheLLo HhHt Estntax erRor T've worked 60 for my masters Baint OJ"
10583.png,a man and woman are posing for a picture,10583.png,Oice@dug_Ilzck voudddfigohach
10584.png,a man standing in front of a truck,10584.png,goes 0n tinder instead of matchcom
10589.png,a man with a white shirt and black jacket,10589.png,love coke more (Ubam pepsi
10596.png,i love puddinging rudy,10596.png,"i [ove pudding pudding mv dick nhere it dlom""1 belong"
10625.png,a baby is holding a white flag,10625.png,@be ew dlemocratic ilag
10639.png,a person ' s hand with the word now you ' re,10639.png,mow IFm gonma use (1o (ingers
10649.png,a woman sitting at a desk with a book,10649.png,straight outta oven
10652.png,two boys watching a television,10652.png,"himn: have vou seen MIJ cat lately? her: none, have VOu seen vour tlad latelv?"
10653.png,a man drinking a beer from a bottle,10653.png,Duchle u@ suga1 @us cause 1*m about @0 take vou] i0 pound town in thhe fuck tinnekk
10659.png,a woman holding a turkey in front of a christmas tree,10659.png,chinese ppl bbe [ilze [bappy (banlsgiving
10673.png,a woman sitting in a car with her hand up,10673.png,whengoutre suillaweek away fibom pav dlav and your car breaks down 0n1 VOU
10675.png,"a woman swimming in a pool with the words, ' tanois soi scratch '",10675.png,handjobs sold separatelyl
10682.png,a man in a suit and tie is smiling,10682.png,stephen miller; architect olthe policy [0 seperate childrer from their  -Jarentsad die horderz thejew with the soul of a mazi
10689.png,a couple kissing on the beach with the capt of the capt,10689.png,whed Vou got am iIch on your hackChal (powcamfl reaclb lut vour white (fend] gorvou
10692.png,"a group of men standing together with the words, this guy wants to say have wonderfully",10692.png,Mispigg_sIans lsa1 have a [onderful davl
10693.png,a woman in a headscar is speaking into a microphone,10693.png,the enemy withim ilhan omar Iinda sarsour rashhida Ulaib Uhe ememy has infiltrated congrress
10725.png,a man with a pink hat smiles at the camera,10725.png,mam rejoices over [harvest
10732.png,a man riding a bike on a sidewalk,10732.png,[Jcok dad i1 doimg bl vou did it @onel Vou Stole your first Dike
10734.png,a man in a blue uniform holding a rifle,10734.png,"""yo [bro ask the €O wby be ain""t pop my door'"
10743.png,a woman is shoveling snow from a sidewalk,10743.png,move (0 new vork they said itHI be fun they said
10748.png,a woman with a red hat and a scarf,10748.png,can afford to travel  from romania to london   still picks vour pocket
10749.png,my sense of humor is ok,10749.png,mysense 0U [umof is $0 dark ft pickS cotton
10752.png,a man in a suit and tie standing on a stage,10752.png,did the irish celebrate black history month
10759.png,a woman with blonde hair,10759.png,"also, [y [beSt friend] emma sajSg @uck Off forever ard ever"
10765.png,a man and a child in a kitchen,10765.png,asked [il @ see Uhings fitom mV poflit @f vflewv hhe Iooked out the kftchem Window
10785.png,a man in a suit holding a rifle,10785.png,"time to put the ""Qanic"" back in hispanic"
10786.png,a poster with a picture of president obama and a quote,10786.png,president trump accuset 0f sexual assault right hefore the clection clarence thomas acciser sent-Um-RAesntentnch Uhe Elc clton TIuht Dclure UELuty vutculd Hnmesenate rov moore ACcuSCI oiSexualassaut Tiylt hetore sellale eleciion alaliama brett kavanaugh  aCCII SEI DI SeuIaas5allIl IMIMCI OICWIMT tolbon uancchmaie still convincet that the accuserS arc tclling Ihe Iruth? Uretemacyreyur MRUaibsnm Idhluit
10792.png,a dog with a white face,10792.png,guvS what the fuck pat dbe actual fuck
10793.png,a man with a white turba,10793.png,meanwhile at the isis strip clqb
10827.png,a man in a tie is being pulled by another man,10827.png,watch out iIl put a bomh in vour car
10829.png,a pile of snakes with the words it ' s letn ' t ' t ' t ' t,10829.png,its ok let them in only a few will kill
10834.png,a boy sitting at a table with a plate of food,10834.png,"@em mauusuc son Minds Oul we""ze [bavfi.g chicken f@C dinner"
10835.png,"a man sitting on a couch with a capt that reads, ' yelits '",10835.png,"veah-bitches 6,000,000 Kill streak"
10839.png,a man in a suit is standing in front of a mirror,10839.png,hidler wanted this embarrassing photo of him destroyed
10843.png,a man in a suit and tie giving a thumbs,10843.png,vour an idiot trump thanks for @e wall 1'm meed target practice
10852.png,a man and a child are sitting at a table,10852.png,a beautiful family
10853.png,a man in a military uniform with a mustache,10853.png,that Iook when you want to speak (0 the manager
10857.png,a man in a suit and tie is giving a speech,10857.png,how do vou know when this prick is [ying? C  tinea Gasfern Te 6 T LEO te Ed L the sphincter under Ieat Ga teaf ~ his nose is moving: s G 1 n. [ 3
10865.png,a woman in a black dress sitting on a chair,10865.png,this movie sucks am thinking of another shooting
10867.png,a man sitting on a rock with a flag,10867.png,official muslim refugee checkpoint
10893.png,a boy and girl are playing with a bottle of water,10893.png,margev conerited Ito islaml
10895.png,a man in a sombrel smoking a cigar,10895.png,Mhaudopoucallamexicat Tiloula ca1? carlos
10926.png,a group of people in native clothing,10926.png,tadiqiomal africam tribbe
10932.png,a snake sitting on top of a wooden table,10932.png,vou come home and Ge found this_ what d0 JOu do 332
10935.png,people crossing the street,10935.png,"modern japanese """
10936.png,a woman in headphones is speaking into a microphone,10936.png,Tvears after_vearl harhor and it still hurts hut just 177 vears after 9/11 and we want t0 move them here and adopt their laws in american cities
10938.png,international boxing day - december 15,10938.png,imtennadiomal [boxing dlav
10943.png,a woman in a red underwear is looking out the window,10943.png,[o1 ewomem win an argument
10946.png,a person holding a cell in their hand,10946.png,glad she put the paper up) somieone Mightrecognise her
10947.png,a man and woman are getting into a car,10947.png,0 @hilk #Ys fupy to haggle over [prrice with ookers when you're just going t0 kill them anyway:
10948.png,a man in a suit and tie is using his cell,10948.png,whatare gou dloing ? nothing balie just women stud pou crashed dhe car again?
10952.png,a man and woman sitting at a desk with their hands up,10952.png,agree Ihi 5 bro
10956.png,a man sitting on a bench with a cigarette in his hand,10956.png,check out these legs ibet vou did nazi that coming
10962.png,a man with a white shirt and black tie,10962.png,Qothing beats a good old sultry stare dowm
10963.png,obama is a rope,10963.png,hope on a rope iFSHatebueshbbl waiting for
10967.png,a woman holding a baby in her arms,10967.png,@umhumanrights
10972.png,what is your purpose?,10972.png,plhat [Fm reallyy dimhilng wben i [ike ald souc iictures
10976.png,a man with glasses and a black shirt,10976.png,when vOu see a commercial about starving kids in africa missed the part where that'S my problem
10983.png,"a reel with the words, ' super bowl lights '",10983.png,miami dolphims suiper bowl mhighlights
10985.png,a woman with a face full of blood and the words just you and this is crazy but i love,10985.png,"ijust met VOU, and this is crazy but i love bath salts; and vOu look tasty"
12034.png,a man with a white towel on his head,12034.png,T_btigismhme hecause pisOis are idoos
12035.png,a man with a beard and a leather vest,12035.png,"date crazy [bikers with bbeards cause once VOu riidle a beard and a [harley vou dlom"" g0 back"
12036.png,a man holding a rainbow flag in front of a building,12036.png,execute a pJlan t0 accept vour actual horn seX vouII be happier when VOu do
12039.png,a fire is burning in the air near a tall building,12039.png,never forget 9/77
12045.png,a young boy holding a gun in his hand,12045.png,"[earn to Dunt BC""s a valuable skd"
12054.png,a man is fixing a truck with a flat bed,12054.png,wlal dlo chevy 1rucks havc 6T1 COTIIIIOM witlb Iheir owners? thev've Ioth Ilown a trannv_
12059.png,two women sitting next to each other women,12059.png,the only kkk  t0 ever [Jet black memin
12063.png,two goats standing next to each other goats,12063.png,when our goat tells vou oh nol she ain't 0n1 the pill
12067.png,two little girls looking at a pan of cookies,12067.png,pre-heat t0 350 degrees
12068.png,a man walking with sheep on a dirt road,12068.png,Chis musiim gu is in heaven
12074.png,a man in a suit and tie speaking at a podium,12074.png,when somebody ask'$ a jew why they are jewish_ Keeping Coverel KePig KEEPING think of myself as Kids ahove the ICauerage ferson = average
12086.png,a man sitting on a rock with a gun,12086.png,just wamna show vou something comment what VOu think he'$ gonna show this goat fucker??
12093.png,a woman and a child are in the kitchen,12093.png,ifvou see me [m public looking a ot mess; just [ow; my bills are paid; my children have foody ainFt trying L0 impress VOu
12094.png,"a man driving a car with the words when you ' re to someone, stop and they ' re",12094.png,when JOu offer t0 get someone stoned and they decline
12096.png,a man in a white suit holding a cell,12096.png,Ihis is [how [gmorantpeople will see rashida tlaib RESTAP
12309.png,a police officer standing in front of a truck,12309.png,domFt [ow [bow @o dlealwith crfmimals; i guess IYII take a shot at them
12348.png,obama giving the peace sign,12348.png,bitch; Say something else
12349.png,a woman sitting at a table writing,12349.png,a musiim in congress wants t0 get rid 0f homeland security let that sink in! 18 vears after 9/11and this is where we are at?
12356.png,a woman is walking through a window with a sign,12356.png,Ohe guv (hal wiote Uhis sigm wants $15.00 an hour
12358.png,a man is getting his tattoo done on a bench,12358.png,oh Q0 i cantt Steal anvmore Police
12374.png,a woman in a yellow shirt is holding a bowl,12374.png,holding cooking classes for those withh dsabdlicies gives [hema ew form @f indemendedce
12376.png,a man in a red suit sitting at a table,12376.png,why girls wanna be mermaids: 1. n1O [ants 2.110 periods 3. perfect hair 4. vou get (o Iure men to their deaths well  that escallated quickly TRL
12389.png,a couple of puppets are standing next to each other puppets,12389.png,bert and ernie dress U1) aS goats iqan atemit to catfisharah men
12407.png,a dog with a carrot in its mouth,12407.png,MV favorite animal is carrot
12430.png,a man and woman standing next to a trailer,12430.png,howdy yalv
12450.png,a pile of clothes and a doll on a table,12450.png,"gne3cohiee  liilaeahaiie quite Juletloug your sister in a lefty bag mermaid suit,"
12453.png,a group of candles with the words the real to break,12453.png,these are just to break
12460.png,a man sitting on a blanket with a quote,12460.png,when pveople just talk about weed and forget vour birthiay (sad racist noises)
12468.png,a woman and a child sitting on a couch,12468.png,sav iusaw iQ [ islam is the rreligion of peace
12483.png,a man kneeling on the floor in a room,12483.png,islam iS a religion of pveace behead those who mock islam
12489.png,a group of people smiling and posing for a photo,12489.png,welcome t0 eurpe Our gouerimem @old us thhat diversity makes US stronger amdwe shhould adont their culture
12490.png,a man with a beard and a smile,12490.png,We can kill as many as we want and [Our Stupid government keeps bringing US in
12495.png,a man standing in front of a building,12495.png,metalhead doing laundiy
12504.png,a crowd of people holding up a sign,12504.png,it saps right here we can bang goats
12507.png,a man walking down a street in a city,12507.png,0 DE got thrown outof a TPC musiim clothes shop today: VAS ETES FTOS ECOS FR only asked where the bomber jackets were RIA
12509.png,a man with a smile on his face,12509.png,walking away from the bathroom after accidentally eatiing some glutem
12534.png,a crowd of people walking down a street,12534.png,[bonder agedts [n tenas aprehend over QOO illegals in just 5- minutes spam we KnOw we have an isSue with illegal immigration but how can we fix this and not separate families.
12536.png,a man in a white shirt is doing yoga,12536.png,turning every country it touches into a s bitbolle
12546.png,a man with a smile on his face,12546.png,"Saw a black man carrving a tv rushed home t0 see if it waS mine nope , mine was SUl there; polishing MV shoes."
12547.png,a woman sitting at a table with a pen and paper,12547.png,gonna gO outside #volo anne frankly ithoughtshe shoulu have Stayed home
12548.png,a man is working in a chocolate factory,12548.png,rumming chocolate
12549.png,a row of women wearing bu buk buk buk buk buk buk buk,12549.png,eatin with the crew
12570.png,a young boy with his arms crossed,12570.png,[hbemyou pick her up for a dlate andshe gou Haitbands 0@ er [su
12576.png,a man and woman are in bed with the words be my name smash,12576.png,hecky lerme smashh
12580.png,a group of chimps sitting on the ground,12580.png,"why are the french protesting high taxes that nay for thcir frec shit Idn"" thev protest t0 getthe tree shit nohoty sait thev were smart"
12589.png,a man kneeling on the ground in front of a wall,12589.png,the religion of the muslimsy Ae1 a monotheistic faith regarded as revealed through muhammad as Ube prophed of allah
12597.png,a man sitting in a trash can with a sign on it,12597.png,heis[IOHIOU do Uhave Co be [OOF Gohe trash ZSCRAM}
12603.png,a bar with a neon sign and a bar,12603.png,itwould be surprising to find a muslim in a gay har MatfkePads due to their beliefs
12604.png,a man holding a sheep in a field,12604.png,when vour sheep wins first ilace at the fair
12607.png,a man with a beard and glasses,12607.png,[how [ see Iblack people getting trolled on Uhe internet
12608.png,a red truck parked in a garage,12608.png,polished aluminum f150 proof that vou really can polish a turd
12637.png,a horse and a goat are standing in the grass,12637.png,come and take Bt
12643.png,a man sitting at a table with a plate of hot dogs,12643.png,sihia men after getuing am erectijom
12647.png,a man in a suit and tie with a microphone,12647.png,"adam schiff used tax QJager monev t0 QJav offa 19 year old male due t0 sexual harrassment claims echo, ifyou are sick of this creepy & dosgraceful hypocrite, trashing our president !"
12648.png,a goat standing on top of a rock,12648.png,the ook on his face whem he discovers (he hblood Irom ahmedraping his Viryin daughter
12649.png,a man in a black shirt and jeans is screaming,12649.png,i said glass of juice not qas the iews
12650.png,two women posing for the camera with the capt of the capt,12650.png,@bichh ome [bas tranny problems? Face Forwa IN Therapy IInternatio 0 LOLIC Thcri Dt
12657.png,a group of soldiers with a gun in their hands,12657.png,hams ja? get him t0 auschwitz
12673.png,a man sitting in a crowd with a yellow shirt,12673.png,how Ft feels being a military spouse Over 30
12675.png,a woman holding a dog in her arms,12675.png,alwavs dtsy positive
12678.png,a man in a suit and tie with a flag behind him,12678.png,did vou really think i was going to Iet Ube patfots Iose
12694.png,two men standing next to each other man,12694.png,EPSON kelbyone ETctrEAt aD 2 RA SON' Oua vittom xar 'when your teacher has a monotone voice
12704.png,an old man with a turbal turbal turbal turbal turbal,12704.png,cammot commdemt 00 [our mouber [because €OwS are sacred in [1j coumCr
12736.png,a group of people toasting with wine glasses,12736.png,"mice [atcl you got @bere david thanks, uy dad sold] [t t0 me Defore He passed"
12748.png,a woman in a black bra top sitting on a bed,12748.png,IIV thai girlfriend savs a Small penis shouldnt be a problem in a loving relationshin but still wish she didmt have one
12750.png,"a man in a suit and tie with the words, ' hoy nahhvit me now",12750.png,[hope yow [bad {um investigating me now its IIV LUN
12754.png,two women walking down a street talking,12754.png,a1m fulI! that pho was good [
12763.png,a man with a green shirt talking on a cell,12763.png,whem (hevfre not pvicking uQ) tIe phone at the pJizza [lace
12784.png,a wooden cutting board,12784.png,when vour chinese food shows @p) completely uncooked
12785.png,a boy jumping in the air,12785.png,found this old photo of Our grandparents on theif quad]
12793.png,a little boy sitting on a brick wall,12793.png,aigman @unsudd mmen make [hdli Dock [kke a girI s@ they cal [malve sex Wftlh [hll he is just a Iittle boyl stop the abuse
12807.png,a cat sitting on the ground in front of a building,12807.png,bruce jenner'$ cat
12834.png,a man with a black and white striped shirt,12834.png,"west philadelphia, born and raised in the anus iS where got most Of mV aids"
12836.png,a church with pew pew pew pew pew pew pew pew pew pew pew pew pew pew pew pew pew,12836.png,texas churches be like: praise the lordl
12837.png,a flag with the european union and the european union,12837.png,imagine if vOu will a group) of people so disgusting: they have t0 make laws making it illegal t0 hate them
12839.png,a man and a woman holding hands,12839.png,"excuse meymiss? am allowed t0 watch (he cowbovs game here? of course, sir. it is 2019. vou're allowed to be gay anywhere:"
12843.png,a baby looking at a monkey,12843.png,When you have t0 race gets to the pvlayground quicker
12867.png,a man in a white shirt and a microphone,12867.png,part of america; 'muslims have allways been starting in colonial times' and they were hijackers and terrorists hack then t00 you fnjackass
12873.png,"a woman in a bikini top with the words, oh, it ' s just you sex",12873.png,"oh; Ibe""s using vot fr Se2? Siophitching;sex[sates_ie; COmilhenhesusigpulzhami ~of ahumanshield"
12876.png,a man with a finger on his lips,12876.png,TN fucking aye
12890.png,hitler is an idiot,12890.png,[idler geuting His tam on
12894.png,a man with a blue sweater and white shirt,12894.png,"imagine, [f vou will an entire country sO ignorant that the people wilfully give billions of dollars in order to elect rrich criminals to rule over their lives and steal their money; but believe theyare free:"
12907.png,a man talking on a cell phone,12907.png,siri take me [bome starting route tojail
12935.png,a cartoon drawing of three men sitting on a bench,12935.png,"""wea [o @p [ip atdde"" R,p Tmissilg [ike po dadFF"
12936.png,a man in a hat and a woman in a blue shirt,12936.png,Tmsure glad] i dodlged uhal bulled fuck hbite womem asians are cute and tight asi [ should ow watch anime and hemtai
12953.png,a group of people sitting on a bench,12953.png,all starting from 1995
12956.png,a man with a beard and a beard,12956.png,mengou findoulyouf eighhors stole vou0 goals
12957.png,a man in a suit and black shirt,12957.png,pgiivilege has a colot; white is not it
12958.png,a man standing in front of a crowd of sheep,12958.png,"Bvoq dhinkz we ieed protection from these peoplez Ibutmot thhese people, youre a special kind of stupid 7"
12967.png,two women walking down a street holding hands,12967.png,omg the middle east has ninjas tooll
12968.png,a woman driving a car with the capt that says when your little car is being her first girlfriend,12968.png,when your [ittle car bbomber brings home his first girlftfiend
12973.png,a woman in a bathtub with foam on her head,12973.png,someome adldled t mucl soap to the dishwasher again
12983.png,a woman with her hair blowing in the wind,12983.png,[augbter really is UIbe [best medlicine
13026.png,a man and woman in a living room,13026.png,umder the name Of mullticu[turalism @e let errorist into Ubis country
13042.png,a man and woman are talking in a store,13042.png,"jean claude van ma'aml 2m coming soon t0 a gamestop near you; ""itS ma*am!l!"
13045.png,a woman sitting at a table with a pen in her hand,13045.png,an amazingly realistic wax fiqure Of anne frank
13046.png,a person kneeling in front of a door,13046.png,religion of peace? [bedore every @me udlerstands that slam is the mean; how many more times thev have to do this ican kind of understand why muslims get SO frustrated
13049.png,two children sitting at a table with a plate of food,13049.png,when he brings home his first girlfriend
13058.png,a sink with a knife stuck into it,13058.png,@mfves @ul
13067.png,a man in a white shirt and a cat,13067.png,whem pou found ouwgouf wife is cheating On1 JOu
13068.png,"three faces with the words, one is screaming at the other",13068.png,"some noise"" and] slbe Staruscreaming wlhempou ataconcert with ya gir/ and Uhe dj says ""all uny single ladies mnake"
13069.png,a woman with blonde hair and blue eyes,13069.png,replaced Dby misunderstood ginliiend dloesmTt ged jealous
13074.png,a group of people in a swimming pool,13074.png,when your tive iiiSLyucCor starts velling in arahic
13076.png,a chicken with a large head on a table,13076.png,when fat white girls sit 0n the toilet
13085.png,a young man with a smile on his face,13085.png,when VOu choke the hooker a little too hard and she dies this [s [ere Ube fun begins
13086.png,a large group of people standing in a mosque,13086.png,[ill all americans & remind them islan is peaceful
13095.png,a man holding a bunch of money in his hand,13095.png,how mexicans be like_ 3 E when thev hear their friends kid is having a birthdav artv
13096.png,a group of sheep running in a field,13096.png,virgin sheet running from horny muslims
13098.png,a child is playing with a chalk board,13098.png,upper downer
13209.png,a person wearing a black bul,13209.png,"when VOu get arrested and the COp) savs 'you have the right to remain silent"" but vou re happy because finally vou have a right"
13248.png,a man standing in front of a truck,13248.png,don't have time to be racist when have my american muscle with four working tres
13249.png,a green frog playing a banjo on a stage,13249.png,here's a little song i call Tthbe talmudists are planning t0 killllus all'
13269.png,a crowd of people standing around a man on a tree,13269.png,missisSippi wind chime
13270.png,a man dressed as a wizard with a wand,13270.png,remember n0 matter how much vou whine Iike a littie bitch M trum[vis still vour presidemt
13276.png,a group of people standing in a room,13276.png,"feminist: [e""ie equally upsetalbout Uhis [Iine me agreeing intensiffies"
13285.png,a message on a rope with a message that says hope is what everyone is believing,13285.png,"hope 0n a rope [Cs what everyome""s hbeem waiting forl"
13289.png,a man in a suit and bow tie with glasses,13289.png,@ came {0 fyuck Dbitches and [earm rocket science
13297.png,a white dog with a green collar,13297.png,@he origimal detp face
13402.png,a man with a happy expression on his face,13402.png,happy birthday let's snort some cakel
13407.png,a group of people sitting in a room,13407.png,vou want good [ife for vour children kill them all
13426.png,a woman holding a rainbow flag,13426.png,theywilI soon he free
13428.png,a woman holding a dog in her arms,13428.png,IFve told my peighbbor @ heep tbier pug ouo8mvgard] 3 times alreadly
13450.png,a black and white photo of a boy in a suit and hat,13450.png,something went terribly wrong 1947 2017
13458.png,a dog laying on a blue rug under a table,13458.png,oh mygod  i donFt give a fuck
13459.png,a man behind a fence with his hands on his head,13459.png,@hhen vou're in jail amd missing her like crazy
13460.png,a woman in a black dress standing on a red carpet,13460.png,"yGlt Langly HANHAI HANHAI iTunes iTunes Ilm HoLlyWoop  HoLLYWoOR_ HORTSMD HANHAI SH Filmi Filme LANGLI ShcRTSt"" iTunes SHC Holyy"" WOOd LnGLt HoLly iTunes HANAn iTung HOLLYWoOD Film ""cuite femalle Film amputee"
13465.png,a man and woman looking at a tablet,13465.png,"""car Salesman roof 0f car"""
13469.png,a woman kneeling down to feed a dog,13469.png,Mbedlhereis ueCOCOIII [eft fn the Dowl
13470.png,a woman in a white shirt and red scarf is standing in front of a fire,13470.png,muslims in 2001 dledund homeland securdyl muslim in congress 2019
13476.png,a cat is laying on a laptop keyboard,13476.png,i keep hitting the escape kev but i'm still here
13478.png,a woman with a tie around her neck,13478.png,Misupedimissiouteedks [_s_p
13482.png,a crowd of people,13482.png,black fridav sale
13486.png,a woman bending her head in the grass,13486.png,oh Iook it's the wetern feminist movement when it comeS to islam and sharia law
13492.png,a woman and a little girl sitting at a table,13492.png,[ [0m maes Ue [best sandlichbes
13495.png,a man in a suit and tie with a caption,13495.png,@here [s mO such Ubiing as am appropriate joke that's why it's a joke:
13506.png,a pregnant girl with long hair and a white shirt,13506.png,camFtpaft do name you some @umb shit mobodl €am promounce
13520.png,a man in a suit holding a trophy,13520.png,ionly wear silk panties cotton ones remind me of slavery
13528.png,a group of people in a boat with the words where ' s who ' s who ' s who,13528.png,"where""s jaws when pou need hhim ?"
13542.png,a set of minimal ty font and ty font,13542.png,"gobo Lerom} LasHus DRma 'BROWS THINOS LIKE A BOSSI"" TO KMOW Sumple Megto Braudinta 02846426 pae x3fet Seroa} Lashad2dm Lasmts 241 OUR oe MX Brows f geu BRAMD Is PERFECTI"" STORY NeT PMST Hadbie READADU pou omly Dblotvcp once Joes"
13548.png,a woman holding a piece of paper in her hand,13548.png,basic whhite girl in her natural abitat Ubis is what i imagine heaven [ooks [ie MomeiMholouemine Mineaisle largelmhilegilbasted
13570.png,a woman in a turbal hat and a microphone,13570.png,who needs help) getting into the U.S i can helpv USL
13576.png,a squirrel is eating in the grass,13576.png,hey i just met vou and this iS crazy; but here'$ MV number I9l gas your baby
13579.png,a man in a suit and tie is talking to another man,13579.png,Qp his Sleevies [here @id] idler [vhere?) [zeep Ibis armies?
13590.png,what she difference between harry potter and harry potter,13590.png,U:what'S the difference [between harry potter and jewisb people? a: harry pvotter eventuallly escaqe the chamber
13592.png,a sloty slot is holding a hand,13592.png,go abead call te €OQS Uhev can' unrape vou
13596.png,a couple posing for a picture in front of a batmobile,13596.png,ever notice christians HAMPSHIRE are horrible drivers
13602.png,a baby in a car seat with a caption,13602.png,"whem someone iS trying t0 coqvnce Vou Uhhal a fetus is a living baby but vou really don""t have a problem with killingja living baby either"
13607.png,a man with a turbal hat and a yellow turbal,13607.png,respect Our eldlers Uheytve [earneda ot in their dime
13609.png,a man in a suit and hat with a capt,13609.png,@lbewvour 8 year old wfide [smtt Ibome but vour goal iS improvise. adapt. overcome
13620.png,a man laying on the ground with a book,13620.png,when VOu get shot in the groin by a rubber bullet and your made-up) gender doesn't protect vour willie
13624.png,a group of people holding hands in the middle of a circle,13624.png,"him: yoqhhave @0 respect our relgouS belieds"" me:"
13640.png,a plate of food with a bowl of rice and a bowl of beans,13640.png,authentic lunch in vemezuela
13647.png,"two men standing in a street with the words, ' sei kur '",13647.png,she saidlgirs run Uhe podld m SO_toli hef gethack i11 the Hitchen
13650.png,a pile of bricks sitting on top of a pile of rubble,13650.png,feel Iike the big bad wolf looking for the 3 [ittle [igs
13652.png,a man talking to another man in a room,13652.png,"dad, does [anking give jou muscles I d0nFt kow son; but don t StOp @Owg M about t0 €ud bbig)"
13657.png,a couple kissing in front of a building,13657.png,"vou & vour best friend JNNl""tee 4ucca 'O ""emepaa VS meand my-hestfriend"
13674.png,a black cat under a blanket,13674.png,Ihhidling {itom his bbadh
13675.png,a woman holding a dog,13675.png,the fresh priince
13679.png,a goat sticking its head through a fence,13679.png,vessss mulhammad fuck me Iike a 6 vear old
13690.png,a man sitting in a chair with a hat on,13690.png,"(the face hhe mahes wlheq Ihe""s abboul do tell you  another War stOry JETNAM 'VETERAN'"
13692.png,a person holding a gun in their hand,13692.png,active shooter at a [almart in Ox targeling only hispanics: ared white people
13695.png,a stone relief with a man and woman in the middle ages,13695.png,when vou et your ethiopian child sexslave swallow gour cum) am agenerous god
13697.png,a man and woman eating food together,13697.png,hhow chevy owners say [hi] @ eacth ouher
13720.png,a man with a black jacket and a white shirt,13720.png,Oh god here comes that smellindian kid
13726.png,a couple of people hugging each other people,13726.png,"democraus giving rglbts to those who have n0 right to be here, while taking rights from those who do"
13745.png,a man in a suit and tie pointing at the camera,13745.png,x didyou kmow that 1out of 3 trump SuppOrers are just as stupid aS the Other 2!
13748.png,a person is holding a small clock,13748.png,these [ere the faulyuires Uhalcaused| mhefirealnouedhamecathedral 8832
13750.png,a man is working on a stove with a fire,13750.png,"wouldn""t be the last time those pveople used the ovem Ubis [ay"
13764.png,a black and white photo of a man with a mustache,13764.png,removes polislh with chemicalls everybody loses his shit removes pvolish With chemicals molbody [bats an epe
13765.png,"a man with a beard and a beard, wearing a blue jacket and a brown jacket",13765.png,when vour [arents Dellyou t0 g0 @0 the store when vOu just got home
13769.png,a little boy with a finger in his mouth,13769.png,MV goal for 2018 Is d0 accomplish the goals of 2017which Ishould Have dlone in 2016 [ecause i promised (iem in 2014and planned them iin 2013
13792.png,a man in a suit and tie with a capt,13792.png,when daddy takes away your sinall Ioan So that vou can't build a wall
13795.png,a group of women sitting around a candle,13795.png,49 people were killed at christchurch mnuSlim muslim 49 people were killed at christchurch mmosques
13798.png,a woman standing next to a fence with a bottle of water,13798.png,this can get mle @ Wee GME RED 3 Foltore tthrouqh anvthind
13802.png,a man holding a fire stick with the words the take money the old fashioned way,13802.png,time to make money the old fashionedway bv killing christians
13806.png,a man in a tuxed suit and bow tie,13806.png,opens ice cream shop only sells shakes
13809.png,a building with a door and a brick chimney,13809.png,doing 0*s @iith dhe smoke
13842.png,a van with a graffiti on it,13842.png,"maidl dlowm bbere, [ve l adda appy [itdlle van; down by the river"
13849.png,a man in a suit is holding a cigarette,13849.png,damnit ! i said glass of juice not gas the jews
13852.png,a man with a long beard and a beard,13852.png,Ubamkgou for alllowiing me [m@o vour coudu MOw we need t0 talk aboul the Ohings that need (O change around [ere t0 accommOdate my beliefs
13856.png,a police officer is running past a wall,13856.png,Officer dowv
13857.png,a police officer standing in front of a police car,13857.png,this is why we shoot you gUS
13859.png,a man with a bald haircut and a grey shirt,13859.png,the fuck did vou just say?
13865.png,a man in a white robe with a beard and a white robe,13865.png,getting stoned in america can be expensive in My eountry IC is free for everyone
13870.png,a woman with a black fur coat and a red lipstick,13870.png,Ifjames [browv and Uhe creature from Uie Dblack Iagoon Oora had a baby (
